Delta,n1_values,n2_values,Curvature_n1,Curvature_n2
0.015,1083,657,0,0
0.02,609,370,255,154
0.025,390,237,100,61
0.030000000000000002,271,165,47,28
0.035,199,121,26,16
0.04000000000000001,153,93,14,8
0.045000000000000005,121,73,9,7
0.05,98,60,6,2
0.05500000000000001,81,49,4,4
0.06000000000000001,68,42,3,0
0.065,58,35,2,3
0.07,50,31,2,0
0.07500000000000001,44,27,1,1
0.08000000000000002,39,24,0,0
0.085,34,21,2,1
0.09000000000000001,31,19,1,0
0.09500000000000001,27,17,2,0
0.10000000000000002,25,15,0,1
0.10500000000000002,23,14,0,0
0.11000000000000001,21,13,0,0
0.11500000000000002,19,12,0,0
0.12000000000000002,17,11,1,0
0.125,16,10,0,0
0.13,15,9,0,1
0.135,14,9,0,1
0.14,13,8,0,1
0.14500000000000002,12,8,0,0
