A,B,C,D,E,F,mean,std
0,0,1,0,0,0,15.543125,0.4721823581784902
0,1,1,0,0,0,15.263031000000002,0.4505140575376089
0,1,1,1,0,0,14.424297000000001,0.4408093905431235
1,0,1,0,0,0,14.051235,0.43351435244406844
0,1,1,1,0,1,13.283192999999999,0.43781998783860926
0,1,1,1,1,0,13.264156999999999,0.4308489716257891
0,0,1,1,0,1,12.631461,0.5342847484993372
0,1,1,1,1,1,12.425951999999999,0.4398067754093836
1,0,1,1,0,0,12.084477999999999,0.45430680329046363
1,0,1,1,0,1,11.757312,0.45897351193287833
0,0,1,1,1,1,11.721103999999999,0.5239143090086394
0,0,1,1,1,0,11.585917,0.5498641415031535
0,0,1,1,0,0,11.331363,0.6250416363979283
1,0,1,1,1,0,11.316846,0.44965581313266706
1,0,1,1,1,1,11.215945,0.47863183970041107
0,1,0,0,0,0,-0.06888,0.8377324594403633
0,1,0,1,0,0,-1.000145,0.8719586079482213
1,0,0,0,0,0,-1.255866,0.9854220060684661
0,1,0,1,1,0,-2.075462,0.9267279884388946
0,1,0,1,0,1,-2.16947,0.9218645904361442
0,1,0,1,1,1,-2.905408,0.9343651671247168
1,0,0,1,0,0,-3.4055,1.0761103586528662
1,0,0,1,0,1,-3.5228099999999998,1.101456321376386
1,0,0,1,1,1,-4.125228,1.1096586664447765
1,0,0,1,1,0,-4.174631000000001,1.069695442095085
0,0,0,0,0,0,-6.032772,1.0191508014106647
0,0,0,1,0,1,-9.078629999999999,1.1083709627647236
0,0,0,1,1,1,-9.893392,1.1228017627061333
0,0,0,1,1,0,-10.11398,1.1483448138951995
0,0,0,1,0,0,-11.002678,1.3064367907847665
1,1,0,1,0,1,-26.831184,0.1779614962400575
1,1,0,1,0,0,-26.838504,0.17530408433348038
1,1,1,1,1,0,-26.844848000000002,0.1748304575753321
1,1,1,0,0,0,-26.845306,0.17039510076290337
1,1,0,1,1,0,-26.845776,0.1767072998605321
1,1,0,1,1,1,-26.845778,0.17421686117020935
1,1,1,1,1,1,-26.846214,0.17097208603745817
1,1,1,1,0,0,-26.84659,0.16941888885245351
1,1,1,1,0,1,-26.847972000000002,0.16237957758289678
1,1,0,0,0,0,-26.850096,0.16678380851869287
